LDBC Query Label;UCQT
Y3;((([NRPerson]ERlikes)[NRComment])/(((ERreplyOf[NRComment])+)/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+))))|((([NRPerson]ERlikes)[NRComment])/((ERreplyOf[NRPost])/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+))))|((([NRPerson]ERlikes)[NRComment])/(((ERreplyOf[NRPost])+)/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+))))
Y4;((([NRForum]ERhasMember)[NRPerson])/((((ERstudyAt[NROrganisation])|([NRPerson]ERworkAt))[NROrganisation])/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+))))
Y5;((([NRPerson]-ERhasMember)[NRForum])/((([ERcontainerOf]ERhasTag)[NRTag])/((ERhasType[NRTagClass])/((ERisSubClassOf[NRTagClass])+))))
Y6;(((([NRComment]ERreplyOf)[NRComment])+)/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+)))|((([NRComment]ERreplyOf)[NRPost])/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+)))|(((([NRComment]ERreplyOf)[NRPost])+)/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+)))
Y7;((([NRForum]ERhasModerator)[NRPerson])/((ERhasInterest[NRTag])/((ERhasType[NRTagClass])/((ERisSubClassOf[NRTagClass])+))))
Y8;((([(ERcontainerOf[ERhasCreator])]([NRForum]ERhasModerator))[NRPerson])/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+)))
IS2;((([NRPerson]-ERhasCreator)[NRComment])/(((ERreplyOf[NRComment])+)/(ERhasCreator[NRPerson])))|((([NRPerson]-ERhasCreator)[NRComment])/((ERreplyOf[NRPost])/(ERhasCreator[NRPerson])))|((([NRPerson]-ERhasCreator)[NRComment])/(((ERreplyOf[NRPost])+)/(ERhasCreator[NRPerson])))
IS6;((([NRComment]ERreplyOf)[NRPost])/((-ERcontainerOf[NRForum])/(ERhasModerator[NRPerson])))|(((([NRComment]ERreplyOf)[NRPost])+)/((-ERcontainerOf[NRForum])/(ERhasModerator[NRPerson])))
IS7;((((([NRPerson]-ERhasCreator)[NRComment])/((ERreplyOf[NRComment])/ERhasCreator))[NRPerson])|([NRPerson](((-ERhasCreator[NRComment])/((ERreplyOf[NRComment])/ERhasCreator))^(ERknows[NRPerson]))))|((((([NRPerson]-ERhasCreator)[NRComment])/((ERreplyOf[NRComment])/ERhasCreator))[NRPerson])|([NRPerson](((-ERhasCreator[NRComment])/((ERreplyOf[NRPost])/ERhasCreator))^(ERknows[NRPerson]))))|((((([NRPerson]-ERhasCreator)[NRComment])/((ERreplyOf[NRPost])/ERhasCreator))[NRPerson])|([NRPerson](((-ERhasCreator[NRComment])/((ERreplyOf[NRComment])/ERhasCreator))^(ERknows[NRPerson]))))|((((([NRPerson]-ERhasCreator)[NRComment])/((ERreplyOf[NRPost])/ERhasCreator))[NRPerson])|([NRPerson](((-ERhasCreator[NRComment])/((ERreplyOf[NRPost])/ERhasCreator))^(ERknows[NRPerson]))))
BI11;((([(ERisLocatedIn[ERisPartOf])]([NRPerson]ERknows))[(ERisLocatedIn[ERisPartOf])])^((ERknows[NRPerson])/([(ERisLocatedIn[ERisPartOf])](ERknows[NRPerson]))))
BI10;((((([NRPerson]ERknows)+)[(ERisLocatedIn[ERisPartOf])])[NRPerson])/(((-ERhasCreator[ERhasTag])[NRPost])/((ERhasTag[NRTag])/(ERhasType[NRTagClass]))))|((((([NRPerson]ERknows)+)[(ERisLocatedIn[ERisPartOf])])[NRPerson])/(((-ERhasCreator[ERhasTag])[NRComment])/((ERhasTag[NRTag])/(ERhasType[NRTagClass]))))
BI3;((([NRPlace]-ERisPartOf)[NRPlace])/((-ERisLocatedIn[NRPerson])/((-ERhasModerator[NRForum])/((ERcontainerOf[NRPost])/((-ERreplyOf[NRComment])/((ERhasTag[NRTag])/(ERhasType[NRTagClass])))))))
BI9;(((([NRComment]ERreplyOf)[NRComment])+)/(ERhasCreator[NRPerson]))|((([NRComment]ERreplyOf)[NRPost])/(ERhasCreator[NRPerson]))|(((([NRComment]ERreplyOf)[NRPost])+)/(ERhasCreator[NRPerson]))
BI20;((([NRPerson]ERknows)^((ERstudyAt[NROrganisation])/(-ERstudyAt[NRPerson])))+)
LSQB1;((([NRPlace]-ERisPartOf)[NRPlace])/((-ERisLocatedIn[NRPerson])/((-ERhasMember[NRForum])/((ERcontainerOf[NRPost])/((-ERreplyOf[NRComment])/((ERhasTag[NRTag])/(ERhasType[NRTagClass])))))))
LSQB4;((((([NRPerson]ERlikes)[ERhasTag])[-ERreplyOf])[NRPost])/(ERhasCreator[NRPerson]))|((((([NRPerson]ERlikes)[ERhasTag])[-ERreplyOf])[NRComment])/(ERhasCreator[NRPerson]))
LSQB5;((([NRTag]-ERhasTag)[NRPost])/((-ERreplyOf[NRComment])/(ERhasTag[NRTag])))|((([NRTag]-ERhasTag)[NRComment])/((-ERreplyOf[NRComment])/(ERhasTag[NRTag])))
LSQB6;((([NRPerson]ERknows)[NRPerson])/((ERknows[NRPerson])/(ERhasInterest[NRTag])))
